c1,c2,c3,live
0.447757173,0.525571205,0.014485968,1
0.372826354,0.600015536,0.014798341,1
0.36396318,0.608729435,0.014898835,1
0.6267864,0.351400824,0.010682967,1
0.668489221,0.311649133,0.009205316,1
0.584493365,0.392130377,0.011895463,1
0.576792706,0.399683388,0.012012597,1
0.632262814,0.346251519,0.010434174,1
0.548188362,0.427134998,0.012915705,1
0.510494197,0.463662965,0.013837942,1
0.463441172,0.509773631,0.014580333,1
0.555327326,0.420340157,0.012645855,1
0.439007541,0.533711046,0.014963856,1
0.405969367,0.566498999,0.015136152,1
0.299487886,0.673531886,0.014449777,1
0.533231953,0.441658549,0.013258035,1
0.487116998,0.486363296,0.014373188,1
0.36337878,0.608919511,0.015205465,1
0.479115796,0.49404288,0.014627052,1
0.321178194,0.651325036,0.014931446,1
0.636613549,0.341639773,0.0106252,1
0.548625086,0.426446891,0.013111052,1
0.463441172,0.509773631,0.014580333,1
0.371629807,0.600429238,0.015408932,1
0.371629807,0.600429238,0.015408932,1
0.306316125,0.66685909,0.014365179,1
0.641507206,0.337066235,0.010382046,1
0.533501289,0.441121004,0.013467531,1
0.502762124,0.471061111,0.014101787,1
0.494914401,0.478573638,0.014366841,1
0.487116998,0.486363296,0.014373188,1
0.354560521,0.617587439,0.015303459,1
0.300923783,0.671470509,0.014920736,1
0.585463221,0.390960531,0.01204821,0
0.571405264,0.404278511,0.012625635,1
0.54124433,0.433464164,0.013397397,1
0.3804201,0.59182035,0.015281873,1
0.494914401,0.478573638,0.014366841,1
0.478899582,0.493916815,0.014898048,1
0.362832133,0.60905521,0.015525745,1
0.306934943,0.665721906,0.01475646,1
0.624357386,0.353181834,0.011172383,1
0.438574459,0.533777943,0.015253663,1
0.379851344,0.591984803,0.015598809,1
0.586355304,0.389856287,0.012210427,1
0.594286555,0.382092152,0.012077136,1
0.32873275,0.642999033,0.015550359,1
0.238368359,0.735375403,0.013477212,1
0.518383486,0.455212396,0.01427786,1
0.502721757,0.470788214,0.014348749,1
0.572033466,0.403406667,0.012813564,1
0.541542995,0.432886106,0.013615612,1
0.470746798,0.501734343,0.015163002,1
